var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10
0.4103308172740716,0.3897317628972008,0.380744972317848,0.20020197315424515,0.8488580848917181,0.9718259737410775,0.610632941253312,0.5877385289853486,0.5919254570649336,0.3619420667810658,1.8741340840025003
0.8448665905674876,0.8249903761818328,0.16314643036351673,0.0722800776931718,0.029485485079479568,0.2996464400470513,0.7761460263346402,0.20037232761288148,0.7208846096090523,0.6198776650184558,0.20242264627824813
0.3979776751362073,0.6555279535594459,0.11901250455913837,0.6305410568289687,0.5958551770774683,0.26310489841097084,0.9652169559507866,0.07183784509343971,0.24354273106212754,0.8019165293856295,1.1308586402801517
0.0721239479409026,0.4839524169533951,0.19829714527422848,0.5870563310718896,0.7594680924940159,0.3078185521914443,0.11129096322462084,0.4681179352680339,0.3457340952162733,0.40063710335802394,0.14183197957484872
0.418060947315708,0.6153705116489186,0.16209004969633178,0.5506955496854459,0.3421466408011534,0.31682742259404484,0.8429140794722053,0.8500970848600066,0.06562719173182308,0.3181507899935371,3.1036572162989327
0.8691326168424044,0.8425039072254169,0.34328361923221506,0.45716085842313736,0.8838397587634221,0.29260864308036694,0.6180834424885308,0.7463078299404555,0.905927341113838,0.9728559167373623,0.8950161683685354
0.9733937860073917,0.7071819162858952,0.994342158919334,0.17431411050984424,0.7655723008141222,0.37281687613874925,0.013016673179993665,0.05772152031756783,0.0011188978652755255,0.30024796058986014,2.178728593573143
0.5697369741708124,0.5964916716361719,0.15502812406633093,0.2720909887032308,0.19926687724677494,0.25649353788579465,0.13631918029784407,0.9295573706165576,0.6722914072379669,0.960973217823056,1.5490221869334773
0.6677507510147771,0.6578542336052076,0.21000963692127628,0.48448591220219117,0.3310563420947883,0.4249061720926305,0.6594801772306237,0.1670708283416722,0.7602451355047034,0.6184770006871175,0.02504809764371707
0.3750011452387265,0.19092749390659047,0.819370428376159,0.49429764927363884,0.6185154781014988,0.571237030963484,0.19830793986104123,0.1306000221043967,0.7319420352045113,0.675968592892928,1.4802055581267635
0.8283185079679806,0.2773113144300794,0.10336980086243386,0.4590661636371386,0.5166184089935244,0.6452252582108347,0.019777565910755524,0.7634237915990625,0.5515328047315856,0.6598284250503273,1.2850048455156284
0.13664801985539765,0.16271014992472055,0.8733608712849351,0.649969524052229,0.9939837324596622,0.3996251762638008,0.11014868236121445,0.34187393220027684,0.4060486500122199,0.8057562019842608,0.5550224389818939
0.3145870309919502,0.8940663872836376,0.10564601176815536,0.17808919603207385,0.29134244651441654,0.9148509361516984,0.7869018833951733,0.31815313532998013,0.47251510291107657,0.9364375454693228,1.9441265874053766
